"Internal Meter ID","Meter Serial","Meter Description","tstamp","total_kl","difference_kl","flow_rate"
"2968","8SEN0121077869","UCT D-School - First Storey - ","2023-08-01 00:16:00","25.9260","0.0000","0.0000"
"2968","8SEN0121077869","UCT D-School - First Storey - ","2023-08-01 01:16:00","25.9260","0.0000","0.0000"
"2968","8SEN0121077869","UCT D-School - First Storey - ","2023-08-01 02:04:00","25.9260","0.0000","0.0000"
"2968","8SEN0121077869","UCT D-School - First Storey - ","2023-08-01 03:15:00","25.9260","0.0000","0.0000"
"2968","8SEN0121077869","UCT D-School - First Storey - ","2023-08-01 04:14:00","25.9260","0.0000","0.0000"
"2968","8SEN0121077869","UCT D-School - First Storey - ","2023-08-01 05:16:00","25.9270","0.0010","0.0003"
"2968","8SEN0121077869","UCT D-School - First Storey - ","2023-08-01 05:56:00","25.9270","0.0000","0.0000"
"2968","8SEN0121077869","UCT D-School - First Storey - ","2023-08-01 07:07:00","25.9320","0.0050","0.0012"
"2968","8SEN0121077869","UCT D-School - First Storey - ","2023-08-01 08:15:00","25.9700","0.0380","0.0093"
"2968","8SEN0121077869","UCT D-School - First Storey - ","2023-08-01 09:15:00","25.9880","0.0180","0.0050"
"2968","8SEN0121077869","UCT D-School - First Storey - ","2023-08-01 09:54:00","25.9920","0.0040","0.0017"
"2968","8SEN0121077869","UCT D-School - First Storey - ","2023-08-01 11:12:00","25.9950","0.0030","0.0006"
"2968","8SEN0121077869","UCT D-School - First Storey - ","2023-08-01 12:12:00","26.0010","0.0060","0.0017"
"2968","8SEN0121077869","UCT D-School - First Storey - ","2023-08-01 13:12:00","26.0070","0.0060","0.0017"
"2968","8SEN0121077869","UCT D-School - First Storey - ","2023-08-01 14:12:00","26.0130","0.0060","0.0017"
"2968","8SEN0121077869","UCT D-School - First Storey - ","2023-08-01 15:12:00","26.0190","0.0060","0.0017"
"2968","8SEN0121077869","UCT D-School - First Storey - ","2023-08-01 16:15:00","26.0250","0.0060","0.0016"
